t_s,rss_mib,phase
0,11,load
2,804,load
4,803,load
6,765,load
8,743,load
10,747,load
12,871,load
14,800,load
16,809,load
18,803,load
20,839,load
22,785,load
24,766,load
26,899,load
28,832,load
30,818,load
32,842,load
34,792,load
36,784,load
38,814,load
40,811,load
42,790,load
44,889,load
46,872,load
48,932,load
50,860,load
52,848,load
54,820,load
56,854,load
58,803,load
60,817,load
62,849,load
64,909,load
66,911,load
68,914,load
70,920,load
72,854,load
74,918,load
76,929,load
78,992,load
80,979,load
82,965,load
84,961,load
86,963,load
88,944,load
90,857,load
92,909,load
94,959,load
96,962,load
98,971,load
100,926,load
102,1003,load
104,1030,load
106,966,load
108,874,load
110,950,load
112,971,load
114,1009,load
116,984,load
118,1022,load
120,993,load
122,979,load
124,956,load
126,990,load
128,978,load
130,1013,load
132,1058,load
134,982,load
136,1108,load
138,1018,load
140,1075,load
142,1037,load
144,1037,load
146,1070,load
148,1081,load
150,1058,load
152,1083,load
154,1130,load
156,1041,load
158,994,load
160,1072,load
162,1055,load
164,1086,load
166,1058,load
168,1043,load
170,1052,load
172,1015,load
174,1011,load
176,1040,load
178,1027,load
180,1089,load
182,1119,load
184,1106,load
186,1109,load
188,1146,load
190,1168,load
192,1073,load
194,1115,load
196,1103,load
198,1120,load
200,1116,load
202,1179,load
204,1131,load
206,1157,load
208,1148,load
210,1120,load
212,1108,load
214,1160,load
216,1161,load
218,1125,load
220,1131,load
222,1123,load
224,1138,load
226,1244,load
228,1197,load
230,1138,load
232,1165,load
234,1159,load
236,1133,load
238,1172,load
240,1193,load
242,1178,load
244,1195,load
246,1158,load
248,1139,load
250,1150,load
252,1136,load
254,1161,load
256,1199,load
258,1221,load
260,1106,load
262,1160,load
264,1209,load
266,1175,load
268,1127,load
270,1194,load
272,1200,load
274,1188,load
276,1227,load
278,1243,load
280,1200,load
282,1189,load
284,1225,load
286,1248,load
288,1213,load
290,1228,load
292,1200,load
294,1236,load
296,1258,load
298,1223,load
300,1166,idle
302,839,idle
304,417,idle
306,300,idle
308,272,idle
310,272,idle
312,252,idle
314,252,idle
316,252,idle
318,252,idle
320,252,idle
322,252,idle
324,252,idle
326,252,idle
328,252,idle
330,252,idle
332,252,idle
334,252,idle
336,252,idle
338,252,idle
340,252,idle
342,252,idle
344,252,idle
346,252,idle
348,252,idle
350,252,idle
352,252,idle
354,252,idle
356,252,idle
358,252,idle
360,252,idle
362,252,idle
364,252,idle
366,252,idle
368,252,idle
370,252,idle
372,252,idle
374,252,idle
376,252,idle
378,252,idle
380,252,idle
382,252,idle
384,252,idle
386,252,idle
388,252,idle
390,252,idle
